3052k  110.185.199.139:8888
1507k  171.213.130.55:8123
1469k  125.71.157.243:6666
1381k  118.113.179.98:4022
1346k  171.213.201.160:8123
1325k  171.88.3.19:8688
1196k  171.213.198.47:8000
1129k  171.221.81.238:8000
1129k  171.213.194.59:888
1095k  182.150.187.214:9999
1088k  110.185.65.129:4443
1064k  125.71.114.18:4022
819k  125.70.181.206:4000
802k  171.213.136.225:5555
