1286k  113.109.251.4:9999
1256k  183.51.190.149:6633
1248k  183.51.190.62:6633
1245k  218.15.214.115:10000
1191k  113.111.17.60:8888
1182k  113.87.250.135:4000
1106k  183.17.239.122:8899
1100k  183.29.197.170:8686
1093k  113.78.253.40:4000
1041k  183.51.190.166:6633
990k  113.102.83.24:4022
741k  119.134.111.112:8888
732k  113.89.245.163:4200
464k  116.23.227.80:10000
